Data tragerii->,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
908,22,32,13,46,5,10
909,40,34,7,46,41,27
910,27,17,40,48,30,44
911,25,38,3,9,46,47
912,21,38,36,31,15,11
913,5,25,42,46,26,15
914,25,10,18,8,31,44
915,4,14,13,32,35,19
916,11,16,22,35,20,23
917,14,38,34,49,37,42
918,10,29,21,19,31,26
919,44,23,49,43,15,16
920,1,35,27,9,14,36
921,49,40,23,16,26,24
922,15,22,19,2,29,31
923,33,14,41,2,46,21
924,41,8,9,12,2,44
925,27,6,9,13,43,18
926,36,10,37,16,23,46
927,39,32,25,17,9,42
928,8,40,48,15,17,14
929,14,46,16,49,17,1
930,29,28,1,5,48,47
931,44,1,25,20,46,34
932,36,13,19,15,11,3
933,20,39,30,1,32,2
934,20,5,1,8,36,7
935,18,4,3,37,35,25
936,28,4,8,29,32,20
937,36,13,47,27,44,7
938,27,23,31,34,17,25
939,7,2,43,42,13,5
940,40,20,17,39,34,9
941,16,48,49,45,34,15
942,34,22,24,12,10,37
943,23,32,46,6,27,14
944,3,15,13,35,36,5
945,21,45,5,7,37,48
946,47,20,3,16,33,35
947,31,15,38,46,23,10
948,35,48,49,23,14,29
949,26,25,23,5,13,35
950,2,24,20,18,10,29
951,9,43,42,33,12,23
952,24,27,23,33,18,29
953,17,11,1,20,13,23
954,7,48,43,4,17,45
955,18,17,28,8,20,5
956,39,18,33,15,20,23
957,42,36,6,10,17,16
958,29,27,37,38,1,12
959,12,9,23,46,19,37
960,5,13,33,37,16,22
961,5,11,28,18,39,27
962,5,49,22,8,24,16
963,1,41,6,25,31,14
964,25,3,8,24,2,27
965,1,13,45,20,21,12
966,43,33,42,46,17,7
967,31,45,16,29,32,28
968,20,26,42,36,49,9
969,14,15,11,46,41,16
970,19,23,32,18,36,15
971,26,37,30,27,23,39
972,45,17,14,29,39,27
973,46,43,9,40,4,34
974,38,35,48,9,34,37
975,23,16,17,9,15,26
976,33,32,9,1,42,3
977,14,28,10,24,2,11
